
ศ์ÿ ๎แ๐เ็เ                     PID ศ์ÿ ๑ๅ๑๑่่          น ๑ๅเํ๑เ       ฯเ์ÿ๒ü ั๎๑๒๎ÿํ่ๅ       ฯ๎๋ü็๎โเ๒ๅ๋ü                                           ย๐ๅ์ÿ ึฯ วเใ๎๋๎โ๎๊ ๎๊ํเ                                                          
svchost.exe                   3488 Services                   0    32 560 สม Unknown         อ/ฤ                                                     0:00:31 อ/ฤ                                                                     
svchost.exe                   3496 Services                   0     1 460 สม Unknown         อ/ฤ                                                     0:00:00 อ/ฤ                                                                     
svchost.exe                   3504 Services                   0     3 504 สม Unknown         อ/ฤ                                                     0:00:00 อ/ฤ                                                                     
LogWatNT.exe                  3540 Services                   0     1 472 สม Unknown         อ/ฤ                                                     0:00:00 อ/ฤ                                                                     
sqlwriter.exe                 3548 Services                   0     2 460 สม Unknown         อ/ฤ                                                     0:00:00 อ/ฤ                                                                     
nvcontainer.exe               3556 Services                   0    22 236 สม Unknown         อ/ฤ                                                     0:00:10 อ/ฤ                                                                     
GoProFusionDeviceDetectio     3564 Services                   0    14 116 สม Unknown         อ/ฤ                                                     0:00:04 อ/ฤ                                                                     
svchost.exe                   3572 Services                   0     1 784 สม Unknown         อ/ฤ                                                     0:00:00 อ/ฤ                                                                     
pg_ctl.exe                    3580 Services                   0     1 096 สม Unknown         อ/ฤ                                                     0:00:00 อ/ฤ                                                                     
svchost.exe                   3596 Services                   0     6 552 สม Unknown         อ/ฤ                                                     0:00:07 อ/ฤ                                                                     
AdskLicensingService.exe      3768 Services                   0     6 352 สม Unknown         อ/ฤ                                                     0:00:02 อ/ฤ                                                                     
MsMpEng.exe                   3800 Services                   0   369 152 สม Unknown         อ/ฤ                                                     0:33:34 อ/ฤ                                                                     
armsvc.exe                    3816 Services                   0    12 952 สม Unknown         อ/ฤ                                                     0:00:00 อ/ฤ                                                                     
RtkAudUService64.exe          3824 Services                   0     3 076 สม Unknown         อ/ฤ                                                     0:00:00 อ/ฤ                                                                     
FNPLicensingService.exe       3892 Services                   0     3 212 สม Unknown         อ/ฤ                                                     0:00:00 อ/ฤ                                                                     
svchost.exe                   3924 Services                   0     1 996 สม Unknown         อ/ฤ                                                     0:00:00 อ/ฤ                                                                     
svchost.exe                   4064 Services                   0     2 516 สม Unknown         อ/ฤ                                                     0:00:00 อ/ฤ                                                                     
