
ศ์ÿ ๎แ๐เ็เ                     PID ศ์ÿ ๑ๅ๑๑่่          น ๑ๅเํ๑เ       ฯเ์ÿ๒ü ั๎๑๒๎ÿํ่ๅ       ฯ๎๋ü็๎โเ๒ๅ๋ü                                           ย๐ๅ์ÿ ึฯ วเใ๎๋๎โ๎๊ ๎๊ํเ                                                          
msedge.exe                   13124 Console                   15    47 248 สม Unknown         STUD-10-059-02\Student                                  0:00:00 อ/ฤ                                                                     
msedge.exe                    9688 Console                   15    46 964 สม Unknown         STUD-10-059-02\Student                                  0:00:00 อ/ฤ                                                                     
msedge.exe                    8588 Console                   15    50 528 สม Unknown         STUD-10-059-02\Student                                  0:00:00 อ/ฤ                                                                     
msedge.exe                    7228 Console                   15    48 756 สม Unknown         STUD-10-059-02\Student                                  0:00:00 อ/ฤ                                                                     
msedge.exe                    9772 Console                   15   111 520 สม Unknown         STUD-10-059-02\Student                                  0:00:01 อ/ฤ                                                                     
msedge.exe                    7304 Console                   15   105 352 สม Unknown         STUD-10-059-02\Student                                  0:00:05 อ/ฤ                                                                     
msedge.exe                    5900 Console                   15   108 676 สม Unknown         STUD-10-059-02\Student                                  0:00:03 อ/ฤ                                                                     
msedge.exe                    1464 Console                   15   108 484 สม Unknown         STUD-10-059-02\Student                                  0:00:01 อ/ฤ                                                                     
cmd.exe                       4676 Console                   15     4 564 สม Running         STUD-10-059-02\Student                                  0:00:00 C:\Windows\system32\cmd.exe                                             
conhost.exe                  17428 Console                   15    16 836 สม Running         STUD-10-059-02\Student                                  0:00:00 อ/ฤ                                                                     
msedge.exe                    5152 Console                   15   106 256 สม Unknown         STUD-10-059-02\Student                                  0:00:08 อ/ฤ                                                                     
audiodg.exe                  10700 Services                   0    19 764 สม Unknown         อ/ฤ                                                     0:00:00 อ/ฤ                                                                     
pacjsworker.exe               5956 Services                   0     8 540 สม Unknown         อ/ฤ                                                     0:00:00 อ/ฤ                                                                     
SearchIndexer.exe            16468 Services                   0    34 628 สม Unknown         อ/ฤ                                                     0:00:00 อ/ฤ                                                                     
msedge.exe                   15892 Console                   15   116 176 สม Unknown         STUD-10-059-02\Student                                  0:00:01 อ/ฤ                                                                     
msedge.exe                   12328 Console                   15    53 400 สม Unknown         STUD-10-059-02\Student                                  0:00:00 อ/ฤ                                                                     
msedge.exe                   16020 Console                   15   109 684 สม Unknown         STUD-10-059-02\Student                                  0:00:02 อ/ฤ                                                                     
WmiPrvSE.exe                  6760 Services                   0    11 200 สม Unknown         อ/ฤ                                                     0:00:15 อ/ฤ                                                                     
smartscreen.exe               1948 Console                   15    23 024 สม Running         STUD-10-059-02\Student                                  0:00:00 OleMainThreadWndName                                                    
SearchProtocolHost.exe        9968 Console                   15     8 288 สม Unknown         STUD-10-059-02\Student                                  0:00:00 อ/ฤ                                                                     
msedge.exe                    5920 Console                   15    30 960 สม Unknown         STUD-10-059-02\Student                                  0:00:00 อ/ฤ                                                                     
SearchProtocolHost.exe       17868 Services                   0    13 976 สม Unknown         อ/ฤ                                                     0:00:00 อ/ฤ                                                                     
pythonw.exe                   9128 Console                   15    33 708 สม Unknown         STUD-10-059-02\Student                                  0:00:00 อ/ฤ                                                                     
cmd.exe                       8548 Console                   15     4 856 สม Running         STUD-10-059-02\Student                                  0:00:00 C:\Windows\system32\cmd.exe                                             
conhost.exe                  10304 Console                   15    13 192 สม Unknown         STUD-10-059-02\Student                                  0:00:00 อ/ฤ                                                                     
tasklist.exe                 18140 Console                   15    10 668 สม Unknown         STUD-10-059-02\Student                                  0:00:00 อ/ฤ                                                                     
